date,open,high,low,close,adjusted_close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_width,BB_position,RSI,price_change,price_change_5d,price_change_10d,volume_sma_10,volume_ratio,volatility_10d,volatility_20d,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance,Market_Phase,Year,Market_Volatility,sentiment_momentum,sentiment_sma_5,sentiment_volatility,day_of_week,month,quarter,year,is_month_end,is_quarter_end,close_lag_1,sentiment_lag_1,close_lag_2,sentiment_lag_2,close_lag_3,sentiment_lag_3,close_lag_5,sentiment_lag_5,close_future_1,return_future_1,close_future_2,return_future_2,close_future_3,return_future_3,close_future_5,return_future_5,symbol
2020-05-29,2305.0,2330.0,2238.0,2262.9,2167.0724,200662.0,2359.2200000000003,2391.1050000000005,,2397.6865668791343,2440.0878820277853,-42.401315148651065,-28.48600648640735,-13.915308662243714,,,,,,28.452104739807766,-0.026416555522092655,-0.08567849855552623,-0.10454671362431234,120770.0,1.6615219011343876,0.027205453547594564,,Friday,May,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,0.141,Positive,0.376,Management Commentary,11.0,11.0,2,-3.14,-50.73,39.62,-1.3,covid_crash,,,-0.18300000000000002,0.2866,0.21455175495799503,4,5,2,2020,0,0,2324.3,0.324,2299.15,0.336,2411.85,0.375,2497.9,0.138,2282.05,0.008462592248884127,2401.0,0.0610278845728931,2424.05,0.07121392902912205,2394.55,0.05817755976843886,ALKEM.NSE
2020-06-01,2290.0,2312.35,2260.0,2282.05,2185.4115,135019.0,2316.05,2371.975,2474.1225,2379.2434649756565,2425.183708544209,-45.94024356855243,-32.017570058710305,-13.922673509842127,2474.1225,2729.1399080229367,2219.1050919770632,510.0348160458734,0.12341296327754137,29.156547423695443,0.008462592248884127,-0.086412586572721,-0.07734449228778773,126407.5,1.0681249134742796,0.02753788739656348,,Monday,June,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,-0.125,Negative,0.1,Vaccine Rollout,15.0,10.0,2,0.55,15.66,38.27,0.98,covid_crash,,,-0.266,0.2102,0.231932940499811,0,6,2,2020,0,0,2262.9,0.141,2324.3,0.324,2299.15,0.336,,0.257,2401.0,0.052124186586621546,2424.05,0.06222475405885053,2445.0,0.07140509629499792,2375.45,0.04092811288096221,ALKEM.NSE
2020-06-02,2298.0,2413.0,2286.6,2401.0,2299.3243,220218.0,2313.88,2376.0600000000004,2460.995,2382.6939763452015,2422.9482325765257,-40.254256231324234,-33.680242741966275,-6.574013489357959,2460.995,2701.5769346151287,2220.413065384871,481.16386923025766,0.3753127492802464,39.71238938053098,0.052124186586621546,-0.00449862139021906,0.01730822193504644,138112.1,1.594487376558607,0.02979720966495828,0.025982574559911424,Tuesday,June,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,-0.206,Negative,0.203,Lockdown Measures,14.0,12.0,8,-2.79,65.66,46.0,-0.34,covid_crash,,,-0.08099999999999999,0.094,0.21987986618959804,1,6,2,2020,0,0,2282.05,-0.125,2262.9,0.141,2324.3,0.324,2411.85,0.375,2424.05,0.009600166597251159,2445.0,0.018325697625989124,2394.55,-0.0026863806747188246,2399.1,-0.0007913369429405348,ALKEM.NSE
2020-06-03,2424.4,2483.1,2378.45,2424.05,2321.3982,177267.0,2338.8599999999997,2381.18,2448.4900000000002,2389.2218888078637,2423.0482404833538,-33.82635167549006,-33.70968175021139,-0.11666992527867137,2448.4900000000002,2667.4496444433016,2229.530355556699,437.91928888660277,0.444190629140502,46.01870576339737,0.009600166597251159,0.0543244242437424,0.021577427987441444,148394.7,1.194564226350402,0.029878306427137624,0.026113207041410187,Wednesday,June,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,0.064,Neutral,0.1,Interest Rate Policy,9.0,17.0,2,-1.73,-8.7,43.78,-1.68,covid_crash,,,0.27,0.0396,0.21541507736357624,2,6,2,2020,0,0,2401.0,-0.206,2282.05,-0.125,2262.9,0.141,2299.15,0.336,2445.0,0.008642561003279647,2394.55,-0.012169715971205197,2375.45,-0.020049091396629803,2378.65,-0.01872898661331246,ALKEM.NSE
2020-06-04,2430.15,2455.0,2401.0,2445.0,2341.461,83280.0,2363.0,2382.315,2440.0075,2397.9911982507497,2425.008088880828,-27.01689063007825,-32.36317515416208,5.346284524083828,2440.0075,2644.532508829831,2235.4824911701694,409.05001765966153,0.5122051088729049,44.683331174718305,0.008642561003279647,0.0519296132168825,0.004663776631808059,151389.2,0.5501052915267403,0.028886731008307236,0.02592550525796035,Thursday,June,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,-0.045,Neutral,0.161,Management Commentary,15.0,14.0,6,-0.95,-80.24,48.28,-0.63,covid_crash,,,-0.109,-0.034199999999999994,0.20252431952731004,3,6,2,2020,0,0,2424.05,0.064,2401.0,-0.206,2282.05,-0.125,2324.3,0.324,2394.55,-0.02063394683026576,2375.45,-0.028445807770961173,2399.1,-0.01877300613496935,2357.8,-0.03566462167689155,ALKEM.NSE
2020-06-05,2459.9,2510.15,2375.0,2394.55,2293.1474,209473.0,2389.3300000000004,2374.275,2431.8550000000005,2397.4519987517074,2422.3295266620867,-24.877527910379285,-30.858942165959608,5.981414255580322,2431.8550000000005,2629.5277223414887,2234.1822776585122,395.34544468297645,0.4056394844010033,44.87513007284081,-0.02063394683026576,0.05817755976843886,-0.03248550475767176,168237.1,1.2451058654720035,0.02900126541208489,0.025881600485104378,Friday,June,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,0.437,Positive,0.454,COVID-19 Impact,12.0,20.0,1,1.34,-111.45,41.67,1.19,covid_crash,,,0.482,0.025000000000000012,0.22530019480190816,4,6,2,2020,0,0,2445.0,-0.045,2424.05,0.064,2401.0,-0.206,2262.9,0.141,2375.45,-0.007976446513958901,2399.1,0.0019001482533251846,2378.65,-0.006640078511620184,2355.95,-0.016119939028210073,ALKEM.NSE
2020-06-08,2430.0,2434.0,2365.0,2375.45,2274.8563,241433.0,2408.0099999999998,2362.0299999999997,2421.23,2394.0142918832444,2418.2632147914956,-24.24892290825119,-29.531924985252832,5.283002077001644,2421.23,2605.998396705316,2236.461603294684,369.5367934106316,0.37611517765937535,51.13383726100488,-0.007976446513958901,0.04092811288096221,-0.04902117778934312,182975.4,1.3194833841051858,0.028707056731737367,0.025662386230109014,Monday,June,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,0.319,Positive,0.285,FII/DII Activity,11.0,17.0,7,2.22,7.79,36.4,2.06,covid_crash,,,-0.118,0.11379999999999998,0.22921363155119914,0,6,2,2020,0,0,2394.55,0.437,2445.0,-0.045,2424.05,0.064,2282.05,-0.125,2399.1,0.009956008335262778,2378.65,0.0013471131785558477,2357.8,-0.007430171125470841,2369.85,-0.0023574480624722893,ALKEM.NSE
2020-06-09,2380.0,2415.0,2368.05,2399.1,2297.5048,240768.0,2407.63,2360.755,2411.205,2394.8070076371832,2416.621794477997,-21.814786840813667,-27.98381849158573,6.169031650772062,2411.205,2575.890236931421,2246.519763068579,329.3704738628421,0.4632480718200599,51.91424196018376,0.009956008335262778,-0.0007913369429405348,-0.005286398407861159,198948.0,1.2102056818867242,0.026965943769694953,0.02578573452428708,Tuesday,June,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,-0.331,Negative,0.274,Vaccine Rollout,10.0,23.0,4,-2.32,22.72,59.31,-1.6,covid_crash,,,-0.65,0.08879999999999999,0.2626121770892499,1,6,2,2020,0,0,2375.45,0.319,2394.55,0.437,2445.0,-0.045,2401.0,-0.206,2378.65,-0.008524029844524939,2357.8,-0.017214788879162946,2355.95,-0.017985911383435527,2393.2,-0.002459255554166151,ALKEM.NSE
2020-06-10,2420.0,2452.95,2355.5,2378.65,2277.9208,367846.0,2398.55,2368.705,2401.2525,2392.293684187279,2413.406564557073,-21.11288036979431,-26.606300232446515,5.493419862652203,2401.2525,2546.4811961458067,2256.0238038541934,290.45739229161336,0.4221830788272467,45.738416240508286,-0.008524029844524939,-0.01872898661331246,0.03457799621599289,200575.9,1.8339491434414603,0.021866283274099466,0.025786707595604495,Wednesday,June,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,-0.062,Neutral,0.1,Merger & Acquisition,14.0,19.0,5,2.3,42.42,65.33,-0.14,covid_crash,,,0.269,0.0636,0.25134049503501105,2,6,2,2020,0,0,2399.1,-0.331,2375.45,0.319,2394.55,0.437,2424.05,0.064,2357.8,-0.00876547621550039,2355.95,-0.009543228301767903,2369.85,-0.003699577491434347,2336.1,-0.017888297984150703,ALKEM.NSE
2020-06-11,2390.55,2394.0,2340.0,2357.8,2257.9537,179804.0,2381.11,2372.055,2394.79,2386.93713636333,2408.747511613505,-21.810375250175184,-25.645256306687234,3.8348810565120495,2394.79,2535.3719918092397,2254.20800819076,281.1639836184795,0.36843976414065643,40.62575018004325,-0.00876547621550039,-0.03566462167689155,0.01441294153078343,205577.0,0.8746309168827252,0.02202047781180883,0.02474542720971,Thursday,June,Q2,ALKEM.NSE,Alkem Laboratories Limited,Pharmaceuticals,Mid Cap,0.118,Positive,0.196,Global Markets,10.0,13.0,3,-0.23,9.66,52.02,1.28,covid_crash,,,0.18,0.0962,0.23440515731906958,3,6,2,2020,0,0,2378.65,-0.062,2399.1,-0.331,2375.45,0.319,2445.0,-0.045,2355.95,-0.0007846297395879276,2369.85,0.005110696411909199,2393.2,0.015013996098057314,2302.5,-0.02345406735092037,ALKEM.NSE
